omega,e_id,c_ew
1,0,10.422362953141539
1,1,25.839752008845906
1,2,123.3714872422249
1,3,9.287580803435427
1,4,18.935963682393922
1,5,47.0792492923539
1,6,32.92262498682166
1,7,28.21491950905506
1,8,15.046016114132073
1,9,13.983295066122498
1,10,54.12351454643446
1,11,15.290973866866624
1,12,6.1506916378477525
1,13,30.52839548909207
1,14,13.757391867565357
1,15,13.65820640948812
1,16,3.428943457078778
1,17,5.038429713667888
1,18,11.974227081148285
1,19,22.365319773095106
1,20,5.508371507886145
1,21,20.886103893451626
1,22,21.100364008171127
1,23,8.596033192807964
1,24,23.651046426452673
1,25,11.841652156066099
1,26,10.081153611299364
1,27,6.521253486798011
1,28,20.475231355068022
1,29,12.282470489050597
1,30,6.175921670810663
1,31,10.329113491125096
1,32,10.312742043711305
1,33,19.006169229762474
1,34,11.113606424708275
1,35,6.412404886284623
1,36,32.35023140674264
1,37,8.828885220895753
1,38,10.598653434040001
1,39,14.116773769696263
1,40,7.980013295333983
1,41,4.047081018775849
1,42,97.63654511421332
1,43,19.619815221042096
1,44,6.628113188015809
1,45,37.196545371964696
1,46,99.30258078138186
1,47,9.719223702155153
1,48,5.58867989742262
1,49,19.75058237199645
1,50,17.361386232744564
1,51,20.38265162046973
1,52,5.220172823106745
1,53,7.46986882792935
1,54,4.150599242016521
1,55,6.521977341912189
1,56,10.210069338834165
1,57,7.565878568050147
1,58,7.941189964639256
1,59,5.658544019613951
1,60,14.999835984069076
1,61,3.16671018108103
1,62,5.535556875823929
1,63,17.752434077644565
1,64,13.002510257090481
1,65,7.1178201277519975
1,66,17.36567183255988
1,67,6.0082311031561195
1,68,8.240847703652928
1,69,3.428745036475435
1,70,14.066280675543833
1,71,103.34190565020695
1,72,63.711727317073205
1,73,10.554782249702075
1,74,7.640852117330882
1,75,10.93531100923037
1,76,13.744666154553613
1,77,4.566384311317471
1,78,4.134859191948054
1,79,4.770159083807035
1,80,6.387191233117132
1,81,6.799376872118661
1,82,70.18449124850815
1,83,17.618030773764026
1,84,28.3030918988185
1,85,46.670252545578975
1,86,9.605633137301702
1,87,33.80198289362975
1,88,11.818508410708455
1,89,4.930076934347499
1,90,8.436051716220476
1,91,9.610010394339703
1,92,63.22651967609719
1,93,3.5054586724964896
1,94,2.954500186781552
1,95,8.007243623024731
1,96,2.503798233670867
1,97,29.943267485476415
1,98,5.307737314931051
1,99,5.114317608706466
1,100,23.650903522024652
1,101,7.901747572698208
1,102,6.695880159739382
1,103,8.505712097568884
1,104,25.434978073769713
1,105,6.3273144517308975
1,106,10.28176786736785
1,107,4.954051717598623
1,108,79.40098027339424
1,109,42.655077900113774
1,110,19.980315508764683
1,111,13.687377056414245
1,112,48.38814921376443
1,113,11.552327818853346
1,114,25.92734548110136
1,115,7.364990063284532
1,116,6.547692139096267
1,117,14.466756232850331
1,118,8.128775890920593
1,119,10.419271430767633
1,120,5.207765596305013
1,121,14.583017837460046
1,122,5.727430601359971
1,123,11.506562777467295
1,124,19.359806450134705
1,125,8.035348680079908
1,126,10.53842274651113
1,127,6.211051782641608
1,128,14.212233172776942
1,129,22.522227179527267
1,130,5.45260278322721
1,131,17.700989209468208
1,132,11.596418614434466
1,133,10.948432712067333
1,134,8.952335402050632
1,135,4.454705821418949
1,136,3.273264862456025
1,137,17.33549719570488
1,138,18.505529958344503
1,139,11.359327956079216
1,140,5.57457082659781
1,141,11.35566265493789
1,142,8.41799185811768
1,143,18.53152695784751
1,144,8.889343904320281
1,145,17.887331065034868
1,146,4.717090385867838
1,147,6.174297507191638
1,148,6.578401546413216
1,149,4.421512043285884
1,150,24.89019418760315
1,151,18.29496708534549
1,152,5.512997271574608
1,153,14.169447135543624
1,154,5.27390846339307
1,155,32.377314259307546
1,156,5.711366612729977
1,157,13.684839774043203
1,158,13.017662520759663
1,159,15.367293109732788
1,160,34.29253214326132
1,161,4.872397739092749
1,162,16.470671955579668
1,163,13.52446384894159
1,164,99.29395575790356
1,165,7.8773218748995175
1,166,20.748782115899775
1,167,18.348557681101532
1,168,38.971455774323246
1,169,26.8760861484979
1,170,26.40801849306837
1,171,27.396756152847363
1,172,26.883708971983005
1,173,37.59610621738936
1,174,27.899121433907894
1,175,29.15261668021883
1,176,27.723690247217743
1,177,4.9606614371974
1,178,254.48922406715306
2,0,12.5125
2,1,29.481125000000002
2,2,156.641625
2,3,11.574124999999999
2,4,23.148125
2,5,60.096125
2,6,40.983625
2,7,38.819875
2,8,18.168625
2,9,18.328500000000002
2,10,63.7755
2,11,20.29225
2,12,7.8125
2,13,36.76475
2,14,17.099875
2,15,17.680374999999998
2,16,5.114625
2,17,6.41025
2,18,14.988
2,19,28.604124999999996
2,20,6.940625000000001
2,21,24.752499999999998
2,22,25.354999999999997
2,23,10.68375
2,24,31.725875000000002
2,25,14.72325
2,26,12.886625
2,27,7.861625
2,28,25.406499999999998
2,29,15.625
2,30,7.668749999999999
2,31,14.619875
2,32,13.255625
2,33,24.801625
2,34,14.534875
2,35,7.9975
2,36,37.764375
2,37,10.84125
2,38,12.690375
2,39,16.55625
2,40,10.048250000000001
2,41,5.0607500000000005
2,42,122.54899999999999
2,43,25.150875
2,44,8.802875
2,45,46.64175
2,46,132.97875
2,47,11.792499999999999
2,48,7.4405
2,49,23.148125
2,50,20.661125
2,51,25.667375
2,52,6.830625
2,53,9.25925
2,54,5.09375
2,55,7.436
2,56,13.8735
2,57,9.21825
2,58,9.8425
2,59,6.6137500000000005
2,60,20.0
2,61,3.87
2,62,6.720375
2,63,24.752499999999998
2,64,16.622375
2,65,9.124125
2,66,21.258499999999998
2,67,7.64525
2,68,10.245875
2,69,4.32525
2,70,17.680374999999998
2,71,130.89000000000001
2,72,82.7815
2,73,12.940000000000001
2,74,9.328375
2,75,12.940000000000001
2,76,17.38525
2,77,5.4513750000000005
2,78,4.980125
2,79,5.792375
2,80,8.620750000000001
2,81,8.333375
2,82,92.592625
2,83,22.281625
2,84,33.244625
2,85,62.5
2,86,12.677499999999998
2,87,41.39075
2,88,13.60175
2,89,5.734
2,90,10.68375
2,91,12.315249999999999
2,92,78.125
2,93,4.499625
2,94,3.8579999999999997
2,95,9.8425
2,96,3.037625
2,97,35.21125
2,98,6.3775
2,99,6.9445
2,100,27.532999999999998
2,101,9.44825
2,102,8.86525
2,103,10.245875
2,104,30.788125
2,105,8.446
2,106,12.376249999999999
2,107,6.253125000000001
2,108,100.8065
2,109,51.2295
2,110,25.77325
2,111,17.755625
2,112,61.88125
2,113,14.654125
2,114,34.106375
2,115,9.46975
2,116,8.446
2,117,19.50075
2,118,10.162625
2,119,12.254875
2,120,7.2253750000000005
2,121,17.556125
2,122,6.648874999999999
2,123,14.952125
2,124,24.752499999999998
2,125,9.827
2,126,14.740625000000001
2,127,7.9113750000000005
2,128,17.0765
2,129,28.801875
2,130,6.868125000000001
2,131,23.584874999999997
2,132,14.384375
2,133,13.38325
2,134,11.574124999999999
2,135,6.068
2,136,4.23725
2,137,21.55175
2,138,22.851875
2,139,14.12425
2,140,6.98325
2,141,15.375125
2,142,9.904875
2,143,22.361375
2,144,11.16075
2,145,23.8095
2,146,6.1275
2,147,7.891375
2,148,7.6922500000000005
2,149,5.458499999999999
2,150,33.068749999999994
2,151,22.851875
2,152,6.830625
2,153,17.781
2,154,6.830625
2,155,43.40275
2,156,6.894625
2,157,16.40425
2,158,16.55625
2,159,19.53125
2,160,41.52825
2,161,6.1576249999999995
2,162,20.424875
2,163,16.869125
2,164,120.19225
2,165,8.928625
2,166,25.987499999999997
2,167,22.978
2,168,47.529375
2,169,34.086
2,170,33.558875
2,171,35.650625
2,172,33.73275
2,173,47.352125
2,174,36.132374999999996
2,175,36.132374999999996
2,176,36.132374999999996
2,177,6.027
2,178,308.642
3,0,12.5125
3,1,29.481125000000002
3,2,156.641625
3,3,11.574124999999999
3,4,23.148125
3,5,60.096125
3,6,40.983625
3,7,38.819875
3,8,18.168625
3,9,18.328500000000002
3,10,63.7755
3,11,20.29225
3,12,7.8125
3,13,36.76475
3,14,17.099875
3,15,17.680374999999998
3,16,5.114625
3,17,6.41025
3,18,14.988
3,19,28.604124999999996
3,20,6.940625000000001
3,21,24.752499999999998
