omega,node,D_iw
1,0,48.07905641394115
1,1,12.95096976367853
1,2,43.97060280531005
1,3,33.608794889423095
1,4,0.0
1,5,48.78127806550231
1,6,22.58809275503316
1,7,26.346049223548693
1,8,0.0
1,9,0.0
1,10,75.01721288044908
1,11,0.0
1,12,28.513156394231977
1,13,12.825620679663704
1,14,88.63487354156912
1,15,23.551492496982867
1,16,9.63638020723332
1,17,54.92530877166296
1,18,40.223156035387035
1,19,16.53335490170793
1,20,11.27920275034767
1,21,9.098375536729796
1,22,6.210663956178471
1,23,11.594514090070275
1,24,0.0
1,25,0.0
1,26,79.05654874620232
1,27,16.53128251650626
1,28,19.877492177966015
1,29,0.0
1,30,0.0
1,31,57.32767216516237
1,32,22.08252410106222
1,33,61.32006107288706
1,34,27.257723084708807
1,35,28.081577959948294
1,36,0.0
1,37,0.0
1,38,23.260711140151436
1,39,65.48692398596789
1,40,27.575091394602897
1,41,88.96438352976246
1,42,15.398989204116992
1,43,13.263435670255678
1,44,55.69927440366212
1,45,0.0
1,46,31.904915204647963
1,47,19.299019914867532
1,48,0.0
1,49,17.479075663590276
1,50,18.207603044906673
1,51,17.52251362140355
1,52,23.302285692851743
1,53,0.0
1,54,51.79126455706012
1,55,95.44866889032753
1,56,9.974466601051272
1,57,11.039533583386957
1,58,0.0
1,59,89.17905384291568
1,60,0.0
1,61,83.32001900604804
1,62,0.0
1,63,0.0
1,64,0.0
1,65,0.0
1,66,25.053665873968793
1,67,0.0
1,68,0.0
1,69,71.6237752313537
1,70,0.0
1,71,8.9611396861689
1,72,4.95052406593689
1,73,64.1025519391151
1,74,39.06518526729332
1,75,58.255578749972514
1,76,52.81542929462501
1,77,67.8257029818267
1,78,36.72824889288641
1,79,0.0
1,80,0.0
1,81,49.384669502544455
1,82,14.623061625040412
1,83,11.766155479513577
1,84,26.42567193027252
1,85,23.233106121506744
1,86,0.0
1,87,45.106552446977005
1,88,0.0
1,89,148.4348356958807
1,90,7.701876279476498
1,91,63.01748859867735
1,92,13.86894532103564
1,93,25.60428474058124
1,94,39.79023891177089
1,95,37.298415662526615
1,96,14.694852034614124
1,97,34.07248900843865
1,98,43.86599485715537
1,99,0.0
1,100,22.858134134495433
1,101,4.353012026789405
1,102,0.0
1,103,34.10790073390053
1,104,25.701179042058257
1,105,40.73535513365931
